"Players","Average.Players","Date"
86652,63535,2025-11-14
94245,78832,2025-11-15
100332,80307,2025-11-16
80989,60521,2025-11-17
73584,56189,2025-11-18
69912,54704,2025-11-19
72886,54863,2025-11-20
79062,58068,2025-11-21
86004,71030,2025-11-22
91834,73382,2025-11-23
73302,55581,2025-11-24
65834,50832,2025-11-25
71800,52585,2025-11-26
69882,55042,2025-11-27
73142,54684,2025-11-28
78888,63102,2025-11-29
83568,65379,2025-11-30
67936,50412,2025-12-01
58255,44306,2025-12-02
56260,43212,2025-12-03
54649,40962,2025-12-04
62229,49329,2025-12-05
69504,58130,2025-12-06
73947,60058,2025-12-07
60556,47361,2025-12-08
55604,44501,2025-12-09
51365,39875,2025-12-10
53047,39965,2025-12-11
54246,43581,2025-12-12
61885,51178,2025-12-13
65799,52918,2025-12-14
52037,40268,2025-12-15
50059,36909,2025-12-16
52144,42298,2025-12-17
51488,41916,2025-12-18
54410,42611,2025-12-19
58367,48866,2025-12-20
62945,50637,2025-12-21
51767,40536,2025-12-22
47525,37513,2025-12-23
43569,36533,2025-12-24
51017,37028,2025-12-25
53364,41790,2025-12-26
56751,45708,2025-12-27
60216,47528,2025-12-28
52582,41399,2025-12-29
51717,40394,2025-12-30
47994,38330,2025-12-31
56443,40080,2026-01-01
52632,42583,2026-01-02
53822,42359,2026-01-03
55830,42602,2026-01-04
45134,33936,2026-01-05
41416,32486,2026-01-06
39717,31323,2026-01-07
39015,30191,2026-01-08
45595,34666,2026-01-09
52863,41345,2026-01-10
52238,42610,2026-01-11
42652,31946,2026-01-12
38811,29747,2026-01-13
38974,29791,2026-01-14
43896,30691,2026-01-15
46887,36414,2026-01-16
54900,43325,2026-01-17
58767,45659,2026-01-18
48850,36995,2026-01-19
44396,34361,2026-01-20
40376,30908,2026-01-21
39825,29744,2026-01-22
43569,31988,2026-01-23
52257,39107,2026-01-24
57899,41866,2026-01-25
45045,33180,2026-01-26
41531,30258,2026-01-27
39083,28978,2026-01-28
38625,29031,2026-01-29
42790,30875,2026-01-30
48028,36916,2026-01-31
51869,38984,2026-02-01
41941,29723,2026-02-02
38659,28585,2026-02-03
38019,28399,2026-02-04
47139,30321,2026-02-05
53292,39722,2026-02-06
61545,47258,2026-02-07
66206,49460,2026-02-08
47140,36219,2026-02-09
44484,32896,2026-02-10
42724,32293,2026-02-11
43980,32312,2026-02-12
47346,35058,2026-02-13
50527,40121,2026-02-14
59152,42440,2026-02-15
51033,36725,2026-02-16
46451,34430,2026-02-17
44065,32723,2026-02-18
46698,33329,2026-02-19
48728,35405,2026-02-20
56394,42695,2026-02-21
62360,45405,2026-02-22
50302,36057,2026-02-23
44513,31958,2026-02-24
42316,30548,2026-02-25
41701,30665,2026-02-26
42918,31127,2026-02-27
47957,36489,2026-02-28
52945,38833,2026-03-01
42567,29352,2026-03-02
40134,28514,2026-03-03
38385,28046,2026-03-04
38682,27962,2026-03-05
41291,29863,2026-03-06
47849,36925,2026-03-07
52745,39126,2026-03-08
43820,29893,2026-03-09
38995,26544,2026-03-10
